date,sku,stock_eod_qty,oos_flag,verified_available_flag,gross_sales_qty,return_qty,net_sales_qty,demand_baseline_qty,lost_sales_qty,lost_sales_value_est,ps_prijem_qty,ps_prijem_value,ps_unit_cost,lost_purchase_cost_est,lost_profit_est,sp_unit_net_price,sp_discount_share,sp_qty,sp_net_value,method_used,confidence_score,poslato_sum,pristiglo_sum,prvi_verifikovan_dt
2026-01-13,AF-613,57.0,0,1,0.0,0.0,0.0,0.08192000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,120.0,120.0,2024-06-11
2026-01-14,AF-613,57.0,0,1,0.0,0.0,0.0,0.06553600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,120.0,120.0,2024-06-11
2026-01-15,AF-613,57.0,0,1,0.0,0.0,0.0,0.052428800000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,120.0,120.0,2024-06-11
2026-01-16,AF-613,57.0,0,1,0.0,0.0,0.0,0.04194304000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,120.0,120.0,2024-06-11
2026-01-17,AF-613,57.0,0,1,0.0,0.0,0.0,0.033554432000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,120.0,120.0,2024-06-11
2026-01-18,AF-613,57.0,0,1,0.0,0.0,0.0,0.026843545600000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,120.0,120.0,2024-06-11
2026-01-19,AF-613,57.0,0,1,0.0,0.0,0.0,0.021474836480000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,120.0,120.0,2024-06-11
2026-01-20,AF-613,57.0,0,1,0.0,0.0,0.0,0.01717986918400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,120.0,120.0,2024-06-11
2026-01-21,AF-613,56.0,0,1,1.0,0.0,1.0,0.2137438953472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,120.0,120.0,2024-06-11
2026-01-15,AF-CRV,14.0,0,1,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,1.0,4450.0,EWMA_FALLBACK,0.2,38.0,35.0,2024-06-11
2026-01-06,AF-K16,48.0,0,1,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,1.0,4450.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-07,AF-K16,48.0,0,1,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
