python : import time: self [us] | cumulative | imported package
At line:1 char:1
+ python -X importtime .\SRB1.2-razvoj.py ui 2>&1 | Out-File .\importti ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:       222 |        222 |             pandas.core.array_algos.masked_accumulations
import time:       236 |        236 |             pandas.core.array_algos.masked_reductions
import time:       224 |        224 |               pandas.core.util
import time:       373 |        373 |               pandas._libs.hashing
import time:       346 |        942 |             pandas.core.util.hashing
import time:       660 |       2860 |           pandas.core.arrays.masked
import time:       314 |        314 |             pandas._libs.arrays
import time:       294 |        294 |               pandas.core.arrays.numeric
import time:       282 |        576 |             pandas.core.arrays.floating
import time:       337 |        337 |             pandas.core.arrays.integer
import time:       224 |        224 |                 pandas.core.array_algos.transforms
import time:       536 |        760 |               pandas.core.arrays._mixins
import time:       241 |        241 |                 pandas.core.strings
import time:       293 |        293 |                 pandas.core.strings.base
import time:       521 |       1054 |               pandas.core.strings.object_array
import time:       337 |       2150 |             pandas.core.arrays.numpy_
import time:       243 |        243 |             pandas.io.formats
import time:       214 |        214 |               pandas.io.formats.console
import time:       458 |        672 |             pandas.io.formats.printing
import time:       556 |       4844 |           pandas.core.arrays.string_
import time:       237 |        237 |             pandas.tseries
import time:       480 |        717 |           pandas.tseries.frequencies
import time:      1066 |      16636 |         pandas.core.arrays.arrow.array
import time:       377 |      17417 |       pandas.core.arrays.arrow
import time:       313 |        313 |       pandas.core.arrays.boolean
import time:       339 |        339 |         pandas.core.accessor
import time:       645 |        645 |         pandas.core.base
import time:       679 |       1662 |       pandas.core.arrays.categorical
import time:       502 |        502 |         pandas._libs.tslib
import time:       242 |        242 |           pandas.core.array_algos.datetimelike_accumulations
import time:       962 |       1203 |         pandas.core.arrays.datetimelike
import time:       238 |        238 |         pandas.core.arrays._ranges
import time:       213 |        213 |         pandas.tseries.offsets
import time:       616 |       2771 |       pandas.core.arrays.datetimes
import time:       610 |        610 |         pandas.core.arrays.timedeltas
import time:      1063 |       1672 |       pandas.core.arrays.interval
import time:       471 |        471 |       pandas.core.arrays.period
import time:       513 |        513 |             pandas._libs.sparse
import time:       605 |       1117 |           pandas.core.arrays.sparse.array
import time:       412 |       1528 |         pandas.core.arrays.sparse.accessor
import time:       253 |       1781 |       pandas.core.arrays.sparse
import time:       513 |        513 |       pandas.core.arrays.string_arrow
