VP,Broj,Datum,Opis,Artikal,Kolicina,Nabavna vrednost,Prodajna vrednost,Prodajna cena,U skladiste,ID prometa u zalihama,Marza,SKU
P S,4,2025-08-13,FS250428C,OPK-K16 - Rep tamno plava OPK(OPK-K16),40,39924.7,178000,3708.33,Skladište Slanje Paketa,20757676,138075.3,OPK-K16
P S,4,2025-08-13,FS250428C,RR-10 - Rep svetlo smeda ravna(RR-10),30,25951.05,133500,3708.33,Skladište Slanje Paketa,20757676,107548.95,RR-10
P S,4,2025-08-13,FS250428C,OPK-SMO - Rep smeda ombre OPK(OPK-SMO),60,59887.05,267000,3708.33,Skladište Slanje Paketa,20757676,207112.95,OPK-SMO
P S,4,2025-08-13,FS250428C,RR-K16 - Rep tamno plava ravna(RR-K16),40,34601.41,178000,3708.33,Skladište Slanje Paketa,20757676,143398.59,RR-K16
P S,4,2025-08-13,FS250428C,OPK-1B - Rep crna OPK(OPK-1B),140,139736.45,623000,3708.33,Skladište Slanje Paketa,20757676,483263.55,OPK-1B
P S,4,2025-08-13,FS250428C,EKS-1B - Ekstenzije crna ravna(EKS-1B),70,65210.34,311500,3708.33,Skladište Slanje Paketa,20757676,246289.66,EKS-1B
P S,4,2025-08-13,FS250428C,DR-1B - Rep crni dugi 90cm(DR-1B),25,26616.47,118750,3958.33,Skladište Slanje Paketa,20757676,92133.53,DR-1B
P S,4,2025-08-13,FS250428C,RR-SMP - Rep smede plava ravna(RR-SMP),35,30276.23,155750,3708.33,Skladište Slanje Paketa,20757676,125473.77,RR-SMP
P S,4,2025-08-13,FS250428C,AF-SMP - Rep smede plava afro(AF-SMP),50,49905.87,222500,3708.33,Skladište Slanje Paketa,20757676,172594.13,AF-SMP
P S,4,2025-08-13,FS250428C,RR-MHG - Rep mahagoni ravna(RR-MHG),30,25951.05,133500,3708.33,Skladište Slanje Paketa,20757676,107548.95,RR-MHG
P S,4,2025-08-13,FS250428C,AF-K16 - Rep tamno plava afro(AF-K16),50,49905.87,222500,3708.33,Skladište Slanje Paketa,20757676,172594.13,AF-K16
P S,4,2025-08-13,FS250428C,TRK-613 - Rep svetlo plavi trakica(TRK-613),20,15969.88,89000,3708.33,Skladište Slanje Paketa,20757676,73030.12,TRK-613
P S,4,2025-08-13,FS250428C,RR-SMO - Rep smeda ombre ravna(RR-SMO),30,25951.05,133500,3708.33,Skladište Slanje Paketa,20757676,107548.95,RR-SMO
P S,4,2025-08-13,FS250428C,TRK-6 - Rep smedi trakica(TRK-6),20,15969.88,89000,3708.33,Skladište Slanje Paketa,20757676,73030.12,TRK-6
P S,4,2025-08-13,FS250428C,OPK-NTP - Rep Natural plava OPK(OPK-NTP),50,49905.87,222500,3708.33,Skladište Slanje Paketa,20757676,172594.13,OPK-NTP
P S,4,2025-08-13,FS250428C,EKS-4 - Ekstenzije tamno smeda ravna(EKS-4),60,55894.58,267000,3708.33,Skladište Slanje Paketa,20757676,211105.41999999998,EKS-4
P S,4,2025-08-13,FS250428C,AF-10 - Rep svetlo smeda afro(AF-10),20,19962.35,89000,3708.33,Skladište Slanje Paketa,20757676,69037.65,AF-10
P S,4,2025-08-13,FS250428C,OPK-MHG - Mahagoni OPK(OPK-MHG),20,19962.35,89000,3708.33,Skladište Slanje Paketa,20757676,69037.65,OPK-MHG
P S,4,2025-08-13,FS250428C,Rep svetlo plava afro(AF-613),50,49905.87,222500,3708.33,Skladište Slanje Paketa,20757676,172594.13,AF-613
P S,4,2025-08-13,FS250428C,OPK-SMP - Rep smede plava ombre OPK(OPK-SMP),40,39924.7,178000,3708.33,Skladište Slanje Paketa,20757676,138075.3,OPK-SMP
P S,4,2025-08-13,FS250428C,RR-350 - Rep crvena ravna(RR-350),20,17300.7,89000,3708.33,Skladište Slanje Paketa,20757676,71699.3,RR-350
P S,4,2025-08-13,FS250428C,Rep Mahagoni afro(AF-MHG),20,19962.35,89000,3708.33,Skladište Slanje Paketa,20757676,69037.65,AF-MHG
P S,4,2025-08-13,FS250428C,Ekstenzije smeda ravna(EKS-6),60,55894.58,267000,3708.33,Skladište Slanje Paketa,20757676,211105.41999999998,EKS-6
P S,4,2025-08-13,FS250428C,Rep svetlo smedi na trakicu(TRK-10),15,11977.41,66750,3708.33,Skladište Slanje Paketa,20757676,54772.59,TRK-10
P S,4,2025-08-13,FS250428C,Rep smedi ravni(RR-6),60,51902.11,267000,3708.33,Skladište Slanje Paketa,20757676,215097.89,RR-6
